날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 12월,강서구,방화1동,기타간이>기타간이,I21099,"5,967,488원",199건
2023년 12월,강서구,가양1동,기타간이>기타간이,I21099,"3,345,770원",145건
2023년 12월,강서구,공항동,기타간이>기타간이,I21099,"3,094,640원",139건
2023년 12월,강서구,방화2동,기타간이>기타간이,I21099,"3,148,233원",134건
2023년 12월,강서구,가양2동,기타간이>기타간이,I21099,0원,0건
2023년 12월,강서구,등촌3동,기타간이>기타간이,I21099,"920,855원",32건
2023년 12월,강서구,가양3동,기타간이>기타간이,I21099,0원,0건
2023년 12월,강서구,발산1동,기타간이>기타간이,I21099,"5,059,774원",224건
2023년 12월,강서구,우장산동,기타간이>기타간이,I21099,"4,304,973원",199건
2023년 12월,강서구,등촌1동,기타간이>기타간이,I21099,"920,855원",32건
2023년 12월,강서구,염창동,기타간이>기타간이,I21099,"4,488,075원",316건
2023년 12월,강서구,화곡6동,기타간이>기타간이,I21099,"4,261,084원",208건
2023년 12월,강서구,등촌2동,기타간이>기타간이,I21099,"920,855원",32건
2023년 12월,강서구,화곡3동,기타간이>기타간이,I21099,"4,261,084원",208건
2023년 12월,강서구,화곡본동,기타간이>기타간이,I21099,"4,261,084원",208건
2023년 12월,강서구,화곡1동,기타간이>기타간이,I21099,"4,261,084원",208건
2023년 12월,강서구,화곡4동,기타간이>기타간이,I21099,"4,261,084원",208건
2023년 12월,강서구,화곡8동,기타간이>기타간이,I21099,"4,261,084원",208건
2023년 12월,강서구,화곡2동,기타간이>기타간이,I21099,"4,261,084원",208건
2023년 11월,강서구,방화2동,기타간이>기타간이,I21099,"3,361,767원",142건
2023년 11월,강서구,방화1동,기타간이>기타간이,I21099,"2,778,618원",124건
2023년 11월,강서구,가양1동,기타간이>기타간이,I21099,"3,732,744원",157건
2023년 11월,강서구,공항동,기타간이>기타간이,I21099,"2,778,618원",124건
2023년 11월,강서구,가양2동,기타간이>기타간이,I21099,0원,0건
2023년 11월,강서구,등촌3동,기타간이>기타간이,I21099,"2,556,000원",90건
2023년 11월,강서구,가양3동,기타간이>기타간이,I21099,0원,0건
2023년 11월,강서구,발산1동,기타간이>기타간이,I21099,"4,240,962원",192건
2023년 11월,강서구,우장산동,기타간이>기타간이,I21099,"3,677,826원",175건
2023년 11월,강서구,등촌1동,기타간이>기타간이,I21099,"2,556,000원",90건
2023년 11월,강서구,염창동,기타간이>기타간이,I21099,"4,672,225원",335건
2023년 11월,강서구,화곡6동,기타간이>기타간이,I21099,"3,783,217원",190건
2023년 11월,강서구,등촌2동,기타간이>기타간이,I21099,"2,556,000원",90건
2023년 11월,강서구,화곡3동,기타간이>기타간이,I21099,"3,783,217원",190건
2023년 11월,강서구,화곡본동,기타간이>기타간이,I21099,"3,783,217원",190건
2023년 11월,강서구,화곡1동,기타간이>기타간이,I21099,"3,783,217원",190건
2023년 11월,강서구,화곡4동,기타간이>기타간이,I21099,"3,783,217원",190건
2023년 11월,강서구,화곡8동,기타간이>기타간이,I21099,"3,783,217원",190건
2023년 11월,강서구,화곡2동,기타간이>기타간이,I21099,"3,783,217원",190건
2023년 10월,강서구,방화2동,기타간이>기타간이,I21099,"2,838,467원",126건
2023년 10월,강서구,방화1동,기타간이>기타간이,I21099,"2,650,364원",119건
2023년 10월,강서구,가양1동,기타간이>기타간이,I21099,"2,720,194원",119건
2023년 10월,강서구,공항동,기타간이>기타간이,I21099,"2,650,364원",119건
2023년 10월,강서구,가양2동,기타간이>기타간이,I21099,0원,0건
2023년 10월,강서구,등촌3동,기타간이>기타간이,I21099,"648,063원",26건
2023년 10월,강서구,가양3동,기타간이>기타간이,I21099,0원,0건
2023년 10월,강서구,발산1동,기타간이>기타간이,I21099,"4,399,902원",190건
2023년 10월,강서구,우장산동,기타간이>기타간이,I21099,"4,150,082원",193건
2023년 10월,강서구,등촌1동,기타간이>기타간이,I21099,"648,063원",26건
2023년 10월,강서구,염창동,기타간이>기타간이,I21099,"5,126,125원",328건
2023년 10월,강서구,화곡6동,기타간이>기타간이,I21099,"4,292,685원",219건
2023년 10월,강서구,등촌2동,기타간이>기타간이,I21099,"648,063원",26건
2023년 10월,강서구,화곡3동,기타간이>기타간이,I21099,"4,292,685원",219건
2023년 10월,강서구,화곡본동,기타간이>기타간이,I21099,"4,292,685원",219건
2023년 10월,강서구,화곡1동,기타간이>기타간이,I21099,"4,292,685원",219건
2023년 10월,강서구,화곡4동,기타간이>기타간이,I21099,"4,292,685원",219건
2023년 10월,강서구,화곡8동,기타간이>기타간이,I21099,"4,292,685원",219건
2023년 10월,강서구,화곡2동,기타간이>기타간이,I21099,"4,292,685원",219건
2023년 09월,강서구,방화2동,기타간이>기타간이,I21099,"3,428,700원",150건
2023년 09월,강서구,방화1동,기타간이>기타간이,I21099,"3,064,410원",139건
2023년 09월,강서구,가양1동,기타간이>기타간이,I21099,"3,217,614원",150건
2023년 09월,강서구,공항동,기타간이>기타간이,I21099,"3,064,410원",139건
2023년 09월,강서구,가양2동,기타간이>기타간이,I21099,0원,0건
2023년 09월,강서구,등촌3동,기타간이>기타간이,I21099,"839,400원",46건
2023년 09월,강서구,가양3동,기타간이>기타간이,I21099,0원,0건
2023년 09월,강서구,발산1동,기타간이>기타간이,I21099,"5,129,927원",229건
2023년 09월,강서구,우장산동,기타간이>기타간이,I21099,"4,509,291원",210건
2023년 09월,강서구,등촌1동,기타간이>기타간이,I21099,"839,400원",46건
2023년 09월,강서구,염창동,기타간이>기타간이,I21099,"5,356,475원",342건
2023년 09월,강서구,화곡6동,기타간이>기타간이,I21099,"4,354,556원",216건
2023년 09월,강서구,등촌2동,기타간이>기타간이,I21099,"839,400원",46건
2023년 09월,강서구,화곡3동,기타간이>기타간이,I21099,"4,354,556원",216건
2023년 09월,강서구,화곡본동,기타간이>기타간이,I21099,"4,354,556원",216건
2023년 09월,강서구,화곡1동,기타간이>기타간이,I21099,"4,354,556원",216건
2023년 09월,강서구,화곡4동,기타간이>기타간이,I21099,"4,354,556원",216건
2023년 09월,강서구,화곡8동,기타간이>기타간이,I21099,"4,354,556원",216건
2023년 09월,강서구,화곡2동,기타간이>기타간이,I21099,"4,354,556원",216건
2023년 08월,강서구,방화2동,기타간이>기타간이,I21099,"4,233,600원",136건
2023년 08월,강서구,방화1동,기타간이>기타간이,I21099,"3,085,717원",122건
2023년 08월,강서구,가양1동,기타간이>기타간이,I21099,"3,465,550원",147건
2023년 08월,강서구,공항동,기타간이>기타간이,I21099,"3,085,717원",122건
2023년 08월,강서구,가양2동,기타간이>기타간이,I21099,0원,0건
2023년 08월,강서구,등촌3동,기타간이>기타간이,I21099,"2,379,050원",90건
2023년 08월,강서구,가양3동,기타간이>기타간이,I21099,0원,0건
2023년 08월,강서구,발산1동,기타간이>기타간이,I21099,"4,313,025원",189건
2023년 08월,강서구,우장산동,기타간이>기타간이,I21099,"4,313,674원",197건
2023년 08월,강서구,등촌1동,기타간이>기타간이,I21099,"2,379,050원",90건
2023년 08월,강서구,염창동,기타간이>기타간이,I21099,"5,967,275원",399건
2023년 08월,강서구,화곡6동,기타간이>기타간이,I21099,"4,553,348원",219건
2023년 08월,강서구,등촌2동,기타간이>기타간이,I21099,"2,379,050원",90건
2023년 08월,강서구,화곡3동,기타간이>기타간이,I21099,"4,553,348원",219건
2023년 08월,강서구,화곡본동,기타간이>기타간이,I21099,"4,553,348원",219건
2023년 08월,강서구,화곡1동,기타간이>기타간이,I21099,"4,553,348원",219건
2023년 08월,강서구,화곡4동,기타간이>기타간이,I21099,"4,553,348원",219건
2023년 08월,강서구,화곡8동,기타간이>기타간이,I21099,"4,553,348원",219건
2023년 08월,강서구,화곡2동,기타간이>기타간이,I21099,"4,553,348원",219건
2023년 07월,강서구,방화2동,기타간이>기타간이,I21099,"4,122,700원",149건
2023년 07월,강서구,방화1동,기타간이>기타간이,I21099,"3,069,827원",129건
2023년 07월,강서구,가양1동,기타간이>기타간이,I21099,"3,367,516원",151건
2023년 07월,강서구,공항동,기타간이>기타간이,I21099,"3,069,827원",129건
2023년 07월,강서구,가양2동,기타간이>기타간이,I21099,0원,0건
2023년 07월,강서구,등촌3동,기타간이>기타간이,I21099,"1,860,150원",78건
2023년 07월,강서구,가양3동,기타간이>기타간이,I21099,0원,0건
2023년 07월,강서구,발산1동,기타간이>기타간이,I21099,"4,262,044원",187건
2023년 07월,강서구,우장산동,기타간이>기타간이,I21099,"4,138,520원",191건
2023년 07월,강서구,등촌1동,기타간이>기타간이,I21099,"1,860,150원",78건
2023년 07월,강서구,염창동,기타간이>기타간이,I21099,"5,797,625원",360건
2023년 07월,강서구,화곡6동,기타간이>기타간이,I21099,"4,627,835원",231건
2023년 07월,강서구,등촌2동,기타간이>기타간이,I21099,"1,860,150원",78건
2023년 07월,강서구,화곡3동,기타간이>기타간이,I21099,"4,627,835원",231건
2023년 07월,강서구,화곡본동,기타간이>기타간이,I21099,"4,627,835원",231건
2023년 07월,강서구,화곡1동,기타간이>기타간이,I21099,"4,627,835원",231건
2023년 07월,강서구,화곡4동,기타간이>기타간이,I21099,"4,627,835원",231건
2023년 07월,강서구,화곡8동,기타간이>기타간이,I21099,"4,627,835원",231건
2023년 07월,강서구,화곡2동,기타간이>기타간이,I21099,"4,627,835원",231건
2023년 06월,강서구,방화2동,기타간이>기타간이,I21099,"3,104,300원",118건
2023년 06월,강서구,방화1동,기타간이>기타간이,I21099,"3,024,214원",136건
2023년 06월,강서구,가양1동,기타간이>기타간이,I21099,"3,859,321원",174건
2023년 06월,강서구,공항동,기타간이>기타간이,I21099,"3,024,214원",136건
2023년 06월,강서구,가양2동,기타간이>기타간이,I21099,0원,0건
2023년 06월,강서구,등촌3동,기타간이>기타간이,I21099,"2,221,900원",87건
2023년 06월,강서구,가양3동,기타간이>기타간이,I21099,0원,0건
2023년 06월,강서구,발산1동,기타간이>기타간이,I21099,"4,610,065원",210건
2023년 06월,강서구,우장산동,기타간이>기타간이,I21099,"3,921,025원",179건
2023년 06월,강서구,등촌1동,기타간이>기타간이,I21099,"2,221,900원",87건
