날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 12월,강서구,방화1동,기타간이>김밥/만두/분식,I21007,"6,201,886원",316건
2023년 12월,강서구,가양1동,기타간이>김밥/만두/분식,I21007,"4,492,568원",231건
2023년 12월,강서구,공항동,기타간이>김밥/만두/분식,I21007,"4,028,881원",219건
2023년 12월,강서구,방화2동,기타간이>김밥/만두/분식,I21007,"3,957,870원",241건
2023년 12월,강서구,가양2동,기타간이>김밥/만두/분식,I21007,"1,833,133원",98건
2023년 12월,강서구,등촌3동,기타간이>김밥/만두/분식,I21007,"5,730,043원",298건
2023년 12월,강서구,가양3동,기타간이>김밥/만두/분식,I21007,"1,833,133원",98건
2023년 12월,강서구,발산1동,기타간이>김밥/만두/분식,I21007,"5,330,766원",263건
2023년 12월,강서구,우장산동,기타간이>김밥/만두/분식,I21007,"6,045,733원",304건
2023년 12월,강서구,등촌1동,기타간이>김밥/만두/분식,I21007,"5,730,043원",298건
2023년 12월,강서구,염창동,기타간이>김밥/만두/분식,I21007,"4,216,697원",207건
2023년 12월,강서구,화곡6동,기타간이>김밥/만두/분식,I21007,"7,344,462원",381건
2023년 12월,강서구,등촌2동,기타간이>김밥/만두/분식,I21007,"5,730,043원",298건
2023년 12월,강서구,화곡3동,기타간이>김밥/만두/분식,I21007,"7,344,462원",381건
2023년 12월,강서구,화곡본동,기타간이>김밥/만두/분식,I21007,"7,344,462원",381건
2023년 12월,강서구,화곡1동,기타간이>김밥/만두/분식,I21007,"7,344,462원",381건
2023년 12월,강서구,화곡4동,기타간이>김밥/만두/분식,I21007,"7,344,462원",381건
2023년 12월,강서구,화곡8동,기타간이>김밥/만두/분식,I21007,"7,344,462원",381건
2023년 12월,강서구,화곡2동,기타간이>김밥/만두/분식,I21007,"7,344,462원",381건
2023년 11월,강서구,방화2동,기타간이>김밥/만두/분식,I21007,"3,763,576원",237건
2023년 11월,강서구,방화1동,기타간이>김밥/만두/분식,I21007,"3,878,777원",215건
2023년 11월,강서구,가양1동,기타간이>김밥/만두/분식,I21007,"4,707,359원",245건
2023년 11월,강서구,공항동,기타간이>김밥/만두/분식,I21007,"3,878,777원",215건
2023년 11월,강서구,가양2동,기타간이>김밥/만두/분식,I21007,"1,998,900원",106건
2023년 11월,강서구,등촌3동,기타간이>김밥/만두/분식,I21007,"6,368,371원",333건
2023년 11월,강서구,가양3동,기타간이>김밥/만두/분식,I21007,"1,998,900원",106건
2023년 11월,강서구,발산1동,기타간이>김밥/만두/분식,I21007,"5,141,237원",260건
2023년 11월,강서구,우장산동,기타간이>김밥/만두/분식,I21007,"5,756,390원",298건
2023년 11월,강서구,등촌1동,기타간이>김밥/만두/분식,I21007,"6,368,371원",333건
2023년 11월,강서구,염창동,기타간이>김밥/만두/분식,I21007,"4,113,939원",205건
2023년 11월,강서구,화곡6동,기타간이>김밥/만두/분식,I21007,"6,985,111원",372건
2023년 11월,강서구,등촌2동,기타간이>김밥/만두/분식,I21007,"6,368,371원",333건
2023년 11월,강서구,화곡3동,기타간이>김밥/만두/분식,I21007,"6,985,111원",372건
