날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 12월,강서구,방화1동,기타간이>버거,I21004,"25,513,004원","1,277건"
2023년 12월,강서구,가양1동,기타간이>버거,I21004,"6,496,350원",333건
2023년 12월,강서구,공항동,기타간이>버거,I21004,"12,948,554원",674건
2023년 12월,강서구,방화2동,기타간이>버거,I21004,"5,737,136원",308건
2023년 12월,강서구,가양2동,기타간이>버거,I21004,"4,261,325원",213건
2023년 12월,강서구,등촌3동,기타간이>버거,I21004,"7,429,424원",396건
2023년 12월,강서구,가양3동,기타간이>버거,I21004,"4,261,325원",213건
2023년 12월,강서구,발산1동,기타간이>버거,I21004,"7,343,560원",362건
2023년 12월,강서구,우장산동,기타간이>버거,I21004,"8,981,242원",459건
2023년 12월,강서구,등촌1동,기타간이>버거,I21004,"7,429,424원",396건
2023년 12월,강서구,염창동,기타간이>버거,I21004,"6,246,327원",304건
2023년 12월,강서구,화곡6동,기타간이>버거,I21004,"11,073,664원",583건
2023년 12월,강서구,등촌2동,기타간이>버거,I21004,"7,429,424원",396건
2023년 12월,강서구,화곡3동,기타간이>버거,I21004,"11,073,664원",583건
2023년 12월,강서구,화곡본동,기타간이>버거,I21004,"11,073,664원",583건
2023년 12월,강서구,화곡1동,기타간이>버거,I21004,"11,073,664원",583건
2023년 12월,강서구,화곡4동,기타간이>버거,I21004,"11,073,664원",583건
2023년 12월,강서구,화곡8동,기타간이>버거,I21004,"11,073,664원",583건
2023년 12월,강서구,화곡2동,기타간이>버거,I21004,"11,073,664원",583건
2023년 11월,강서구,방화2동,기타간이>버거,I21004,"5,092,071원",278건
2023년 11월,강서구,방화1동,기타간이>버거,I21004,"11,179,110원",602건
2023년 11월,강서구,가양1동,기타간이>버거,I21004,"5,707,127원",304건
2023년 11월,강서구,공항동,기타간이>버거,I21004,"11,179,110원",602건
2023년 11월,강서구,가양2동,기타간이>버거,I21004,"3,651,450원",194건
2023년 11월,강서구,등촌3동,기타간이>버거,I21004,"6,544,071원",362건
2023년 11월,강서구,가양3동,기타간이>버거,I21004,"3,651,450원",194건
2023년 11월,강서구,발산1동,기타간이>버거,I21004,"6,149,176원",314건
2023년 11월,강서구,우장산동,기타간이>버거,I21004,"7,554,190원",403건
2023년 11월,강서구,등촌1동,기타간이>버거,I21004,"6,544,071원",362건
2023년 11월,강서구,염창동,기타간이>버거,I21004,"5,191,118원",265건
2023년 11월,강서구,화곡6동,기타간이>버거,I21004,"9,735,887원",534건
2023년 11월,강서구,등촌2동,기타간이>버거,I21004,"6,544,071원",362건
2023년 11월,강서구,화곡3동,기타간이>버거,I21004,"9,735,887원",534건
2023년 11월,강서구,화곡본동,기타간이>버거,I21004,"9,735,887원",534건
2023년 11월,강서구,화곡1동,기타간이>버거,I21004,"9,735,887원",534건
2023년 11월,강서구,화곡4동,기타간이>버거,I21004,"9,735,887원",534건
2023년 11월,강서구,화곡8동,기타간이>버거,I21004,"9,735,887원",534건
2023년 11월,강서구,화곡2동,기타간이>버거,I21004,"9,735,887원",534건
2023년 10월,강서구,방화2동,기타간이>버거,I21004,"5,123,367원",279건
2023년 10월,강서구,방화1동,기타간이>버거,I21004,"11,758,858원",636건
2023년 10월,강서구,가양1동,기타간이>버거,I21004,"5,776,871원",313건
2023년 10월,강서구,공항동,기타간이>버거,I21004,"11,758,858원",636건
2023년 10월,강서구,가양2동,기타간이>버거,I21004,"3,502,125원",185건
2023년 10월,강서구,등촌3동,기타간이>버거,I21004,"6,748,255원",380건
2023년 10월,강서구,가양3동,기타간이>버거,I21004,"3,502,125원",185건
2023년 10월,강서구,발산1동,기타간이>버거,I21004,"6,258,054원",323건
2023년 10월,강서구,우장산동,기타간이>버거,I21004,"7,393,128원",392건
2023년 10월,강서구,등촌1동,기타간이>버거,I21004,"6,748,255원",380건
2023년 10월,강서구,염창동,기타간이>버거,I21004,"5,588,940원",280건
2023년 10월,강서구,화곡6동,기타간이>버거,I21004,"9,350,379원",510건
2023년 10월,강서구,등촌2동,기타간이>버거,I21004,"6,748,255원",380건
2023년 10월,강서구,화곡3동,기타간이>버거,I21004,"9,350,379원",510건
2023년 10월,강서구,화곡본동,기타간이>버거,I21004,"9,350,379원",510건
2023년 10월,강서구,화곡1동,기타간이>버거,I21004,"9,350,379원",510건
2023년 10월,강서구,화곡4동,기타간이>버거,I21004,"9,350,379원",510건
2023년 10월,강서구,화곡8동,기타간이>버거,I21004,"9,350,379원",510건
2023년 10월,강서구,화곡2동,기타간이>버거,I21004,"9,350,379원",510건
2023년 09월,강서구,방화2동,기타간이>버거,I21004,"5,422,294원",293건
2023년 09월,강서구,방화1동,기타간이>버거,I21004,"11,765,363원",631건
2023년 09월,강서구,가양1동,기타간이>버거,I21004,"5,989,884원",318건
2023년 09월,강서구,공항동,기타간이>버거,I21004,"11,765,363원",631건
2023년 09월,강서구,가양2동,기타간이>버거,I21004,"3,794,575원",205건
2023년 09월,강서구,등촌3동,기타간이>버거,I21004,"6,729,681원",374건
2023년 09월,강서구,가양3동,기타간이>버거,I21004,"3,794,575원",205건
2023년 09월,강서구,발산1동,기타간이>버거,I21004,"6,388,531원",326건
2023년 09월,강서구,우장산동,기타간이>버거,I21004,"6,966,548원",369건
2023년 09월,강서구,등촌1동,기타간이>버거,I21004,"6,729,681원",374건
2023년 09월,강서구,염창동,기타간이>버거,I21004,"5,580,817원",283건
2023년 09월,강서구,화곡6동,기타간이>버거,I21004,"8,601,429원",462건
2023년 09월,강서구,등촌2동,기타간이>버거,I21004,"6,729,681원",374건
2023년 09월,강서구,화곡3동,기타간이>버거,I21004,"8,601,429원",462건
2023년 09월,강서구,화곡본동,기타간이>버거,I21004,"8,601,429원",462건
2023년 09월,강서구,화곡1동,기타간이>버거,I21004,"8,601,429원",462건
2023년 09월,강서구,화곡4동,기타간이>버거,I21004,"8,601,429원",462건
2023년 09월,강서구,화곡8동,기타간이>버거,I21004,"8,601,429원",462건
2023년 09월,강서구,화곡2동,기타간이>버거,I21004,"8,601,429원",462건
2023년 08월,강서구,방화2동,기타간이>버거,I21004,"5,991,517원",331건
2023년 08월,강서구,방화1동,기타간이>버거,I21004,"12,792,151원",683건
2023년 08월,강서구,가양1동,기타간이>버거,I21004,"6,139,001원",321건
2023년 08월,강서구,공항동,기타간이>버거,I21004,"12,792,151원",683건
2023년 08월,강서구,가양2동,기타간이>버거,I21004,"3,739,925원",194건
2023년 08월,강서구,등촌3동,기타간이>버거,I21004,"7,146,017원",393건
2023년 08월,강서구,가양3동,기타간이>버거,I21004,"3,739,925원",194건
2023년 08월,강서구,발산1동,기타간이>버거,I21004,"7,107,113원",360건
2023년 08월,강서구,우장산동,기타간이>버거,I21004,"7,943,672원",421건
2023년 08월,강서구,등촌1동,기타간이>버거,I21004,"7,146,017원",393건
2023년 08월,강서구,염창동,기타간이>버거,I21004,"6,133,443원",305건
2023년 08월,강서구,화곡6동,기타간이>버거,I21004,"9,204,182원",497건
2023년 08월,강서구,등촌2동,기타간이>버거,I21004,"7,146,017원",393건
2023년 08월,강서구,화곡3동,기타간이>버거,I21004,"9,204,182원",497건
2023년 08월,강서구,화곡본동,기타간이>버거,I21004,"9,204,182원",497건
2023년 08월,강서구,화곡1동,기타간이>버거,I21004,"9,204,182원",497건
