날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 12월,강서구,방화2동,동남아>베트남,I20501,"2,212,433원",82건
2023년 12월,강서구,방화1동,동남아>베트남,I20501,"2,686,369원",107건
2023년 12월,강서구,가양1동,동남아>베트남,I20501,"6,011,128원",238건
2023년 12월,강서구,가양3동,동남아>베트남,I20501,0원,0건
2023년 12월,강서구,공항동,동남아>베트남,I20501,"2,686,369원",107건
2023년 12월,강서구,등촌3동,동남아>베트남,I20501,"7,415,883원",286건
2023년 12월,강서구,가양2동,동남아>베트남,I20501,0원,0건
2023년 12월,강서구,등촌2동,동남아>베트남,I20501,"7,415,883원",286건
2023년 12월,강서구,발산1동,동남아>베트남,I20501,"5,050,178원",216건
2023년 12월,강서구,화곡6동,동남아>베트남,I20501,"7,376,854원",315건
2023년 12월,강서구,등촌1동,동남아>베트남,I20501,"7,415,883원",286건
2023년 12월,강서구,염창동,동남아>베트남,I20501,"7,219,000원",228건
2023년 12월,강서구,화곡본동,동남아>베트남,I20501,"7,376,854원",315건
2023년 12월,강서구,우장산동,동남아>베트남,I20501,"6,435,419원",279건
2023년 12월,강서구,화곡3동,동남아>베트남,I20501,"7,376,854원",315건
2023년 12월,강서구,화곡1동,동남아>베트남,I20501,"7,376,854원",315건
2023년 12월,강서구,화곡4동,동남아>베트남,I20501,"7,376,854원",315건
2023년 12월,강서구,화곡8동,동남아>베트남,I20501,"7,376,854원",315건
2023년 12월,강서구,화곡2동,동남아>베트남,I20501,"7,376,854원",315건
2023년 11월,강서구,방화1동,동남아>베트남,I20501,"2,812,572원",114건
2023년 11월,강서구,방화2동,동남아>베트남,I20501,"2,535,167원",92건
2023년 11월,강서구,가양1동,동남아>베트남,I20501,"5,443,625원",219건
2023년 11월,강서구,공항동,동남아>베트남,I20501,"2,812,572원",114건
2023년 11월,강서구,가양2동,동남아>베트남,I20501,0원,0건
2023년 11월,강서구,등촌3동,동남아>베트남,I20501,"6,156,400원",237건
2023년 11월,강서구,가양3동,동남아>베트남,I20501,0원,0건
2023년 11월,강서구,발산1동,동남아>베트남,I20501,"4,669,631원",209건
2023년 11월,강서구,우장산동,동남아>베트남,I20501,"6,180,373원",276건
2023년 11월,강서구,등촌1동,동남아>베트남,I20501,"6,156,400원",237건
2023년 11월,강서구,염창동,동남아>베트남,I20501,"6,694,500원",202건
2023년 11월,강서구,화곡6동,동남아>베트남,I20501,"7,752,333원",335건
2023년 11월,강서구,등촌2동,동남아>베트남,I20501,"6,156,400원",237건
2023년 11월,강서구,화곡본동,동남아>베트남,I20501,"7,752,333원",335건
2023년 11월,강서구,화곡1동,동남아>베트남,I20501,"7,752,333원",335건
2023년 11월,강서구,화곡4동,동남아>베트남,I20501,"7,752,333원",335건
2023년 11월,강서구,화곡8동,동남아>베트남,I20501,"7,752,333원",335건
2023년 11월,강서구,화곡2동,동남아>베트남,I20501,"7,752,333원",335건
2023년 10월,강서구,방화1동,동남아>베트남,I20501,"2,728,092원",108건
2023년 10월,강서구,방화2동,동남아>베트남,I20501,"2,229,750원",82건
2023년 10월,강서구,가양1동,동남아>베트남,I20501,"5,534,621원",225건
2023년 10월,강서구,공항동,동남아>베트남,I20501,"2,728,092원",108건
2023년 10월,강서구,가양2동,동남아>베트남,I20501,0원,0건
2023년 10월,강서구,등촌3동,동남아>베트남,I20501,"6,162,917원",241건
2023년 10월,강서구,가양3동,동남아>베트남,I20501,0원,0건
2023년 10월,강서구,발산1동,동남아>베트남,I20501,"4,657,721원",210건
2023년 10월,강서구,우장산동,동남아>베트남,I20501,"6,028,718원",272건
2023년 10월,강서구,등촌1동,동남아>베트남,I20501,"6,162,917원",241건
2023년 10월,강서구,염창동,동남아>베트남,I20501,"7,217,000원",238건
2023년 10월,강서구,화곡6동,동남아>베트남,I20501,"7,648,319원",333건
2023년 10월,강서구,등촌2동,동남아>베트남,I20501,"6,162,917원",241건
2023년 10월,강서구,화곡본동,동남아>베트남,I20501,"7,648,319원",333건
2023년 10월,강서구,화곡1동,동남아>베트남,I20501,"7,648,319원",333건
2023년 10월,강서구,화곡4동,동남아>베트남,I20501,"7,648,319원",333건
2023년 10월,강서구,화곡8동,동남아>베트남,I20501,"7,648,319원",333건
2023년 10월,강서구,화곡2동,동남아>베트남,I20501,"7,648,319원",333건
2023년 09월,강서구,방화1동,동남아>베트남,I20501,"3,061,995원",119건
2023년 09월,강서구,방화2동,동남아>베트남,I20501,"2,736,200원",90건
2023년 09월,강서구,가양1동,동남아>베트남,I20501,"5,254,801원",210건
2023년 09월,강서구,공항동,동남아>베트남,I20501,"3,061,995원",119건
2023년 09월,강서구,가양2동,동남아>베트남,I20501,0원,0건
2023년 09월,강서구,등촌3동,동남아>베트남,I20501,"5,376,817원",204건
2023년 09월,강서구,가양3동,동남아>베트남,I20501,0원,0건
2023년 09월,강서구,발산1동,동남아>베트남,I20501,"4,579,852원",200건
2023년 09월,강서구,우장산동,동남아>베트남,I20501,"5,650,951원",250건
2023년 09월,강서구,등촌1동,동남아>베트남,I20501,"5,376,817원",204건
2023년 09월,강서구,염창동,동남아>베트남,I20501,"6,832,500원",217건
2023년 09월,강서구,화곡6동,동남아>베트남,I20501,"7,274,983원",318건
2023년 09월,강서구,등촌2동,동남아>베트남,I20501,"5,376,817원",204건
2023년 09월,강서구,화곡본동,동남아>베트남,I20501,"7,274,983원",318건
2023년 09월,강서구,화곡1동,동남아>베트남,I20501,"7,274,983원",318건
2023년 09월,강서구,화곡4동,동남아>베트남,I20501,"7,274,983원",318건
2023년 09월,강서구,화곡8동,동남아>베트남,I20501,"7,274,983원",318건
2023년 09월,강서구,화곡2동,동남아>베트남,I20501,"7,274,983원",318건
2023년 08월,강서구,방화1동,동남아>베트남,I20501,"2,901,159원",117건
2023년 08월,강서구,방화2동,동남아>베트남,I20501,"2,091,000원",77건
2023년 08월,강서구,가양1동,동남아>베트남,I20501,"5,796,988원",238건
2023년 08월,강서구,공항동,동남아>베트남,I20501,"2,901,159원",117건
2023년 08월,강서구,가양2동,동남아>베트남,I20501,0원,0건
2023년 08월,강서구,등촌3동,동남아>베트남,I20501,"6,089,800원",243건
2023년 08월,강서구,가양3동,동남아>베트남,I20501,0원,0건
2023년 08월,강서구,발산1동,동남아>베트남,I20501,"4,471,197원",195건
2023년 08월,강서구,우장산동,동남아>베트남,I20501,"5,528,565원",244건
2023년 08월,강서구,등촌1동,동남아>베트남,I20501,"6,089,800원",243건
2023년 08월,강서구,염창동,동남아>베트남,I20501,"8,239,500원",251건
2023년 08월,강서구,화곡6동,동남아>베트남,I20501,"7,618,913원",330건
2023년 08월,강서구,등촌2동,동남아>베트남,I20501,"6,089,800원",243건
2023년 08월,강서구,화곡본동,동남아>베트남,I20501,"7,618,913원",330건
2023년 08월,강서구,화곡1동,동남아>베트남,I20501,"7,618,913원",330건
2023년 08월,강서구,화곡4동,동남아>베트남,I20501,"7,618,913원",330건
2023년 08월,강서구,화곡8동,동남아>베트남,I20501,"7,618,913원",330건
2023년 08월,강서구,화곡2동,동남아>베트남,I20501,"7,618,913원",330건
2023년 07월,강서구,방화1동,동남아>베트남,I20501,"2,950,612원",121건
2023년 07월,강서구,방화2동,동남아>베트남,I20501,"2,300,925원",83건
2023년 07월,강서구,가양1동,동남아>베트남,I20501,"4,682,324원",193건
