날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 12월,강서구,방화1동,중식>중국집,I20201,"9,631,267원",387건
2023년 12월,강서구,방화2동,중식>중국집,I20201,"11,077,863원",424건
2023년 12월,강서구,가양1동,중식>중국집,I20201,"7,397,470원",291건
2023년 12월,강서구,공항동,중식>중국집,I20201,"9,737,782원",401건
2023년 12월,강서구,가양2동,중식>중국집,I20201,"5,337,186원",214건
2023년 12월,강서구,등촌3동,중식>중국집,I20201,"8,914,990원",358건
2023년 12월,강서구,가양3동,중식>중국집,I20201,"5,337,186원",214건
2023년 12월,강서구,염창동,중식>중국집,I20201,"5,637,135원",216건
2023년 12월,강서구,발산1동,중식>중국집,I20201,"6,230,035원",241건
2023년 12월,강서구,우장산동,중식>중국집,I20201,"8,206,824원",340건
2023년 12월,강서구,등촌1동,중식>중국집,I20201,"8,914,990원",358건
2023년 12월,강서구,화곡6동,중식>중국집,I20201,"11,893,811원",500건
2023년 12월,강서구,화곡3동,중식>중국집,I20201,"11,893,811원",500건
2023년 12월,강서구,화곡본동,중식>중국집,I20201,"11,893,811원",500건
2023년 12월,강서구,등촌2동,중식>중국집,I20201,"8,914,990원",358건
2023년 12월,강서구,화곡1동,중식>중국집,I20201,"11,893,811원",500건
2023년 12월,강서구,화곡4동,중식>중국집,I20201,"11,893,811원",500건
2023년 12월,강서구,화곡8동,중식>중국집,I20201,"11,893,811원",500건
2023년 11월,강서구,방화2동,중식>중국집,I20201,"11,084,535원",428건
2023년 11월,강서구,방화1동,중식>중국집,I20201,"8,966,162원",372건
2023년 11월,강서구,가양1동,중식>중국집,I20201,"7,199,793원",291건
2023년 11월,강서구,공항동,중식>중국집,I20201,"8,966,162원",372건
2023년 11월,강서구,가양2동,중식>중국집,I20201,"5,827,417원",234건
2023년 11월,강서구,등촌3동,중식>중국집,I20201,"8,445,511원",354건
2023년 11월,강서구,가양3동,중식>중국집,I20201,"5,827,417원",234건
2023년 11월,강서구,염창동,중식>중국집,I20201,"5,966,168원",228건
2023년 11월,강서구,발산1동,중식>중국집,I20201,"6,012,283원",240건
2023년 11월,강서구,우장산동,중식>중국집,I20201,"7,779,148원",331건
2023년 11월,강서구,등촌1동,중식>중국집,I20201,"8,445,511원",354건
2023년 11월,강서구,화곡6동,중식>중국집,I20201,"10,860,180원",468건
2023년 11월,강서구,화곡3동,중식>중국집,I20201,"10,860,180원",468건
2023년 11월,강서구,화곡본동,중식>중국집,I20201,"10,860,180원",468건
2023년 11월,강서구,등촌2동,중식>중국집,I20201,"8,445,511원",354건
2023년 11월,강서구,화곡1동,중식>중국집,I20201,"10,860,180원",468건
2023년 11월,강서구,화곡4동,중식>중국집,I20201,"10,860,180원",468건
2023년 11월,강서구,화곡8동,중식>중국집,I20201,"10,860,180원",468건
2023년 10월,강서구,방화2동,중식>중국집,I20201,"9,973,758원",389건
2023년 10월,강서구,방화1동,중식>중국집,I20201,"8,429,917원",345건
2023년 10월,강서구,가양1동,중식>중국집,I20201,"7,127,635원",294건
2023년 10월,강서구,공항동,중식>중국집,I20201,"8,429,917원",345건
2023년 10월,강서구,가양2동,중식>중국집,I20201,"5,486,200원",222건
2023년 10월,강서구,등촌3동,중식>중국집,I20201,"8,493,544원",364건
2023년 10월,강서구,가양3동,중식>중국집,I20201,"5,486,200원",222건
2023년 10월,강서구,염창동,중식>중국집,I20201,"5,917,520원",229건
2023년 10월,강서구,발산1동,중식>중국집,I20201,"5,873,046원",236건
2023년 10월,강서구,우장산동,중식>중국집,I20201,"7,442,236원",316건
2023년 10월,강서구,등촌1동,중식>중국집,I20201,"8,493,544원",364건
2023년 10월,강서구,화곡6동,중식>중국집,I20201,"10,541,543원",454건
2023년 10월,강서구,화곡3동,중식>중국집,I20201,"10,541,543원",454건
2023년 10월,강서구,화곡본동,중식>중국집,I20201,"10,541,543원",454건
2023년 10월,강서구,등촌2동,중식>중국집,I20201,"8,493,544원",364건
2023년 10월,강서구,화곡1동,중식>중국집,I20201,"10,541,543원",454건
2023년 10월,강서구,화곡4동,중식>중국집,I20201,"10,541,543원",454건
2023년 10월,강서구,화곡8동,중식>중국집,I20201,"10,541,543원",454건
2023년 09월,강서구,방화2동,중식>중국집,I20201,"10,504,276원",408건
2023년 09월,강서구,방화1동,중식>중국집,I20201,"8,714,947원",358건
2023년 09월,강서구,가양1동,중식>중국집,I20201,"7,066,025원",285건
2023년 09월,강서구,공항동,중식>중국집,I20201,"8,714,947원",358건
2023년 09월,강서구,가양2동,중식>중국집,I20201,"5,240,500원",208건
2023년 09월,강서구,등촌3동,중식>중국집,I20201,"7,993,925원",334건
2023년 09월,강서구,가양3동,중식>중국집,I20201,"5,240,500원",208건
2023년 09월,강서구,염창동,중식>중국집,I20201,"5,152,010원",200건
2023년 09월,강서구,발산1동,중식>중국집,I20201,"6,149,394원",247건
