날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 12월,강서구,방화2동,한식>곱창전골/구이,I20109,"4,266,117원",167건
2023년 12월,강서구,방화1동,한식>곱창전골/구이,I20109,"5,419,008원",207건
2023년 12월,강서구,공항동,한식>곱창전골/구이,I20109,"5,419,008원",207건
2023년 12월,강서구,가양1동,한식>곱창전골/구이,I20109,"4,528,101원",160건
2023년 12월,강서구,가양2동,한식>곱창전골/구이,I20109,"1,041,500원",49건
2023년 12월,강서구,등촌3동,한식>곱창전골/구이,I20109,"4,979,645원",131건
2023년 12월,강서구,가양3동,한식>곱창전골/구이,I20109,"1,041,500원",49건
2023년 12월,강서구,발산1동,한식>곱창전골/구이,I20109,"7,237,545원",288건
2023년 12월,강서구,우장산동,한식>곱창전골/구이,I20109,"7,715,017원",300건
2023년 12월,강서구,화곡6동,한식>곱창전골/구이,I20109,"8,518,102원",326건
2023년 12월,강서구,등촌1동,한식>곱창전골/구이,I20109,"4,979,645원",131건
2023년 12월,강서구,염창동,한식>곱창전골/구이,I20109,"906,000원",34건
2023년 12월,강서구,등촌2동,한식>곱창전골/구이,I20109,"4,979,645원",131건
2023년 12월,강서구,화곡3동,한식>곱창전골/구이,I20109,"8,518,102원",326건
2023년 12월,강서구,화곡본동,한식>곱창전골/구이,I20109,"8,518,102원",326건
2023년 12월,강서구,화곡1동,한식>곱창전골/구이,I20109,"8,518,102원",326건
2023년 12월,강서구,화곡4동,한식>곱창전골/구이,I20109,"8,518,102원",326건
2023년 12월,강서구,화곡8동,한식>곱창전골/구이,I20109,"8,518,102원",326건
2023년 12월,강서구,화곡2동,한식>곱창전골/구이,I20109,"8,518,102원",326건
2023년 11월,강서구,방화2동,한식>곱창전골/구이,I20109,"3,910,879원",159건
2023년 11월,강서구,방화1동,한식>곱창전골/구이,I20109,"4,965,804원",195건
2023년 11월,강서구,가양1동,한식>곱창전골/구이,I20109,"4,950,617원",185건
2023년 11월,강서구,공항동,한식>곱창전골/구이,I20109,"4,965,804원",195건
2023년 11월,강서구,가양2동,한식>곱창전골/구이,I20109,"1,410,400원",65건
2023년 11월,강서구,등촌3동,한식>곱창전골/구이,I20109,"6,284,867원",201건
2023년 11월,강서구,가양3동,한식>곱창전골/구이,I20109,"1,410,400원",65건
2023년 11월,강서구,발산1동,한식>곱창전골/구이,I20109,"5,747,476원",235건
2023년 11월,강서구,우장산동,한식>곱창전골/구이,I20109,"6,030,783원",241건
2023년 11월,강서구,화곡6동,한식>곱창전골/구이,I20109,"7,723,198원",301건
2023년 11월,강서구,등촌1동,한식>곱창전골/구이,I20109,"6,284,867원",201건
2023년 11월,강서구,염창동,한식>곱창전골/구이,I20109,"963,283원",38건
2023년 11월,강서구,등촌2동,한식>곱창전골/구이,I20109,"6,284,867원",201건
2023년 11월,강서구,화곡3동,한식>곱창전골/구이,I20109,"7,723,198원",301건
2023년 11월,강서구,화곡본동,한식>곱창전골/구이,I20109,"7,723,198원",301건
2023년 11월,강서구,화곡1동,한식>곱창전골/구이,I20109,"7,723,198원",301건
2023년 11월,강서구,화곡4동,한식>곱창전골/구이,I20109,"7,723,198원",301건
2023년 11월,강서구,화곡8동,한식>곱창전골/구이,I20109,"7,723,198원",301건
2023년 11월,강서구,화곡2동,한식>곱창전골/구이,I20109,"7,723,198원",301건
2023년 10월,강서구,방화2동,한식>곱창전골/구이,I20109,"3,822,824원",155건
2023년 10월,강서구,방화1동,한식>곱창전골/구이,I20109,"5,501,628원",212건
2023년 10월,강서구,가양1동,한식>곱창전골/구이,I20109,"4,437,628원",168건
