기준연도,자치구명,총_가구_수,1인_가구_수,점포_수,폐업_점포_수,1인가구_비중,1인가구비중_증가율,폐업_증가율,sh_closure_growth_ratio
2019,강남구,914337,66073,905.6470588235294,2671,0.0722632902310636,,,
2020,강남구,929317,68999,936.6029411764706,2664,0.07424700075431742,0.027451151434024768,-0.0026207412953950238,-0.09546926662415713
2021,강남구,938188,71986,969.1176470588235,2349,0.07672875798880395,0.03342569005175888,-0.1182432432432432,-3.5374959517708193
2022,강남구,938188,73579,992.8235294117648,2329,0.0784267119170145,0.02212930292001225,-0.008514261387824629,-0.38475054630504896
2023,강남구,941280,76809,1008.4705882352941,2706,0.08160058643549209,0.040469304920445426,0.16187204808930877,3.999872209505869
2024,강남구,950556,79274,1005.8970588235294,2887,0.08339750630157508,0.02202091853228927,0.06688839615668885,3.037493465979196
2025,강남구,950556,81818,985.1176470588235,2358,0.08607383468201768,0.032091227893130014,-0.18323519224108076,-5.7098217884117535
2019,강동구,705901,45188,408.22058823529414,1236,0.06401464227986645,,,
2020,강동구,725456,50316,425.55882352941177,1140,0.06935775567367283,0.08346705071703386,-0.07766990291262132,-0.9305456733571938
2021,강동구,784556,56905,445.30882352941177,1082,0.07253147002890807,0.04575860802312448,-0.05087719298245619,-1.1118605914923152
2022,강동구,784556,59752,454.1764705882353,1203,0.07616027409133319,0.05003075300940174,0.11182994454713491,2.235224093591394
2023,강동구,791019,62943,456.54411764705884,1274,0.07957204567779029,0.044797259820331226,0.05901911886949285,1.3174716289835888
2024,강동구,810408,65601,454.2647058823529,1341,0.0809481150235437,0.01729337651221763,0.05259026687598123,3.041064122950578
2025,강동구,810408,68371,447.45588235294116,1148,0.08436614643488219,0.042224966082834214,-0.14392244593586878,-3.4084680057180154
2019,강북구,573214,42791,295.9264705882353,913,0.07465100294130987,,,
2020,강북구,578044,45685,304.9852941176471,873,0.07903377597553128,0.058710169475782115,-0.04381161007667034,-0.7462354557627803
