기준년도,자치구명,1층 임대료,1층외 임대료,전체 임대료
2020,강남구,172365,116919,144642
2020,강동구,123818,73359,98588
2020,강북구,98991,64405,81698
2020,강서구,130078,73474,101776
2020,관악구,126168,73971,100069
2020,광진구,119052,73968,96510
2020,구로구,123859,89960,106910
2020,금천구,118856,88358,103606
2020,노원구,135197,69733,102465
2020,도봉구,99976,51198,75587
2020,동대문구,114511,59078,86794
2020,동작구,138222,78416,108319
2020,마포구,148557,103385,125971
2020,서대문구,128869,74693,101781
2020,서초구,140642,105319,122980
2020,성동구,121642,83610,102626
2020,성북구,110728,61451,86090
2020,송파구,147456,101490,124473
2020,양천구,118816,70481,94649
2020,영등포구,123721,86189,104955
2020,용산구,136757,95126,115942
2020,은평구,110415,70863,90639
2020,종로구,206900,138208,172554
2020,중구,250304,238701,244502
2020,중랑구,97700,56289,76994
2021,강남구,174165,122671,148418
2021,강동구,129545,74774,102159
2021,강북구,104858,63102,83980
2021,강서구,139412,84015,111713
2021,관악구,131412,79040,105226
2021,광진구,126196,74036,100116
2021,구로구,117605,85428,101517
2021,금천구,118458,95836,107146
2021,노원구,129693,67354,98524
2021,도봉구,102278,57782,80030
2021,동대문구,117074,67333,92204
2021,동작구,145000,86647,115824
2021,마포구,160672,109306,134989
2021,서대문구,130654,83478,107066
2021,서초구,147268,107916,127592
2021,성동구,135184,103489,119336
2021,성북구,117082,69617,93350
2021,송파구,179053,125123,152088
2021,양천구,125531,75068,100299
2021,영등포구,126360,86643,106502
2021,용산구,142571,101132,121851
2021,은평구,112301,69496,90899
2021,종로구,202073,138708,170391
2021,중구,240657,212618,226638
2021,중랑구,107872,69376,88624
2022,강남구,190098,140812,165455
2022,강동구,133906,85444,109674
2022,강북구,110378,72367,91372
2022,강서구,143947,93140,118544
2022,관악구,136741,82210,109476
2022,광진구,134125,90408,112267
2022,구로구,143342,105500,124421
2022,금천구,114440,78069,96254
2022,노원구,137383,89690,113537
2022,도봉구,112072,67337,89705
2022,동대문구,116628,73200,94914
2022,동작구,159689,117420,138554
2022,마포구,179662,128201,153931
2022,서대문구,125068,103259,114164
2022,서초구,153524,114226,133875
2022,성동구,164986,136134,150560
2022,성북구,122202,87300,104751
2022,송파구,188560,136998,162779
2022,양천구,128088,83705,105896
2022,영등포구,129370,96377,112874
2022,용산구,154042,118853,136448
2022,은평구,118611,87622,103116
2022,종로구,224345,166357,195351
2022,중구,262864,240947,251906
2022,중랑구,106597,67416,87007
2023,강남구,185359,159105,172232
2023,강동구,139790,98479,119134
2023,강북구,101348,65854,83601
2023,강서구,151898,104196,128047
2023,관악구,139616,90797,115206
2023,광진구,124589,88982,106786
2023,구로구,146394,119473,132933
2023,금천구,124970,84099,104535
2023,노원구,140210,93570,116890
2023,도봉구,143368,102146,122756
2023,동대문구,119743,67663,93703
2023,동작구,169801,105522,137662
2023,마포구,165758,125628,145693
2023,서대문구,142025,119570,130797
2023,서초구,159647,116448,138047
2023,성동구,212284,192242,202264
2023,성북구,124511,85172,104842
2023,송파구,169626,121610,145618
2023,양천구,132978,96426,114702
2023,영등포구,134304,103143,118724
2023,용산구,164745,116976,140860
2023,은평구,111358,78437,94898
2023,종로구,231237,166113,198676
2023,중구,297008,272198,284602
2023,중랑구,105747,65680,85714
