자치구명,기준연도,성별,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
종로구,2019,남자,158,1236,2178,1466,959,727,944,880,993,817,562,416,320,170,116
종로구,2019,여자,349,2044,1725,1181,913,678,760,641,725,755,639,704,727,534,354
종로구,2020,남자,134,1209,2229,1664,1043,774,983,958,1053,915,625,424,330,186,136
종로구,2020,여자,264,2122,1882,1259,938,742,760,654,691,812,712,732,778,563,411
종로구,2021,남자,111,1146,2342,1791,1091,860,908,1022,1073,976,759,414,366,207,145
종로구,2021,여자,217,2065,2246,1414,924,830,712,761,684,888,787,746,767,604,452
종로구,2022,남자,170,1201,2455,1810,1098,919,841,1021,1023,1058,782,448,355,238,142
종로구,2022,여자,333,2117,2458,1556,983,843,706,786,685,860,829,730,774,678,525
종로구,2023,남자,192,1300,2417,1952,1135,928,815,1032,990,1099,852,510,382,266,170
종로구,2023,여자,355,2170,2503,1653,951,837,695,794,720,896,879,754,777,750,560
중구,2019,남자,164,807,1572,1403,1046,800,906,889,888,815,546,373,218,158,92
중구,2019,여자,325,1444,1482,1158,874,662,648,578,646,752,634,658,678,494,368
중구,2020,남자,140,794,1593,1454,1079,807,906,945,883,844,654,422,248,163,89
중구,2020,여자,295,1456,1639,1244,896,659,621,596,656,785,718,697,649,524,362
중구,2021,남자,68,703,1753,1620,1186,863,886,981,921,897,756,457,290,161,112
중구,2021,여자,200,1529,2039,1461,1001,744,600,628,619,831,811,711,672,601,443
중구,2022,남자,102,608,1685,1901,1163,932,810,1010,864,913,819,522,297,195,122
중구,2022,여자,249,1323,2097,1654,975,794,619,669,628,803,877,744,694,649,529
중구,2023,남자,214,1009,1816,2181,1291,1030,860,1043,932,1008,898,582,364,215,131
중구,2023,여자,333,1642,2340,1913,1070,911,654,699,606,818,919,774,740,702,598
용산구,2019,남자,60,517,2532,2747,2158,1470,1524,1240,1187,1029,671,448,296,202,123
용산구,2019,여자,192,2119,2817,2238,1801,1231,1205,918,917,1083,925,1012,1025,873,588
용산구,2020,남자,45,525,2641,3051,2236,1558,1454,1293,1208,1066,706,459,280,225,133
용산구,2020,여자,412,2138,3005,2499,1874,1345,1175,952,921,1088,1017,991,1054,881,649
용산구,2021,남자,41,558,2864,3393,2413,1655,1450,1386,1234,1164,815,482,296,230,143
용산구,2021,여자,99,2062,3532,2832,2023,1451,1174,1065,932,1200,1110,984,1039,887,756
용산구,2022,남자,35,550,2935,3740,2467,1803,1413,1445,1169,1193,921,527,309,254,155
용산구,2022,여자,314,2091,3692,3300,2109,1518,1174,1159,912,1196,1178,1005,1069,935,869
용산구,2023,남자,42,535,2824,3939,2477,1858,1387,1481,1218,1255,1017,579,374,264,186
용산구,2023,여자,273,2268,3678,3446,2066,1559,1156,1165,1001,1187,1250,1047,1107,911,932
성동구,2019,남자,240,2016,3696,2775,2032,1566,1722,1687,1538,1382,743,473,347,198,110
성동구,2019,여자,347,2693,3182,2132,1623,1186,1268,983,1177,1331,1199,1242,1210,884,506
성동구,2020,남자,319,2035,3754,2792,2081,1553,1643,1680,1526,1439,857,499,357,214,125
성동구,2020,여자,434,2815,3298,2216,1628,1237,1221,1027,1115,1411,1313,1249,1243,953,551
성동구,2021,남자,212,1917,4222,3105,2193,1649,1588,1709,1602,1552,1027,557,382,255,157
성동구,2021,여자,322,2802,3687,2437,1635,1362,1185,1113,1119,1526,1437,1297,1284,997,616
성동구,2022,남자,276,2158,4228,3293,2101,1704,1524,1702,1588,1600,1128,628,404,281,171
성동구,2022,여자,389,2888,3843,2671,1601,1435,1168,1179,1087,1502,1529,1335,1318,1117,700
성동구,2023,남자,246,2256,4368,3557,2132,1701,1457,1666,1578,1625,1247,678,453,289,211
성동구,2023,여자,347,2967,4072,2900,1654,1442,1080,1219,1084,1534,1615,1361,1349,1214,809
광진구,2019,남자,212,2429,5864,4424,2980,2130,2163,2071,1932,1570,885,659,400,211,105
광진구,2019,여자,364,4281,6075,3974,2669,1637,1548,1352,1612,1822,1401,1300,1221,849,574
광진구,2020,남자,221,2682,6256,4820,2959,2187,2123,2077,2023,1691,1053,697,436,227,118
광진구,2020,여자,341,4601,6993,4171,2733,1781,1477,1457,1553,1955,1597,1383,1252,857,580
광진구,2021,남자,169,2679,6774,5314,3081,2340,2098,2227,2093,1885,1211,719,480,256,130
광진구,2021,여자,296,4655,7646,4618,2789,1917,1456,1511,1515,2084,1812,1465,1284,960,676
광진구,2022,남자,172,2828,7003,5937,3189,2352,2061,2226,2074,2006,1353,800,511,318,167
광진구,2022,여자,303,4688,7983,5148,2841,2077,1502,1601,1544,2010,1947,1508,1320,1094,828
광진구,2023,남자,288,3176,7136,6356,3217,2445,1937,2256,2093,2041,1481,821,554,336,218
광진구,2023,여자,342,4783,8272,5538,2921,2159,1459,1559,1545,2021,1997,1555,1379,1179,895
동대문구,2019,남자,602,4460,5708,3202,2313,1808,2059,2010,1992,1734,1249,879,638,335,187
동대문구,2019,여자,941,6199,4063,2149,1582,1223,1230,1109,1450,1884,1672,1795,1774,1204,701
동대문구,2020,남자,589,4150,6018,3489,2429,1918,2082,2067,2011,1942,1377,945,652,352,218
동대문구,2020,여자,938,6417,4621,2512,1629,1304,1234,1132,1406,1965,1832,1867,1773,1278,778
동대문구,2021,남자,457,4323,6683,3978,2453,2041,2056,2209,2074,2131,1650,1035,661,422,251
동대문구,2021,여자,741,6941,5441,2794,1737,1415,1218,1229,1311,2060,1991,1906,1812,1405,865
동대문구,2022,남자,570,4544,6729,4303,2561,2131,1994,2263,2069,2261,1831,1053,696,494,251
동대문구,2022,여자,798,6912,5835,3173,1799,1443,1230,1332,1321,1991,2165,1960,1853,1594,1013
동대문구,2023,남자,566,4676,6849,4563,2574,2115,1992,2300,2157,2375,1999,1203,754,539,298
동대문구,2023,여자,778,7206,6269,3405,1839,1461,1252,1345,1321,1969,2317,2025,1953,1692,1167
중랑구,2019,남자,90,702,2667,2908,2639,2051,2663,2944,3134,2506,1544,975,658,343,164
중랑구,2019,여자,111,1342,2937,2218,1769,1380,1583,1701,2266,2708,2143,2123,1886,1248,793
중랑구,2020,남자,82,768,3088,3290,2661,2226,2616,3011,3284,2764,1863,1108,734,386,187
중랑구,2020,여자,124,1593,3489,2550,1890,1508,1554,1727,2230,2870,2535,2254,1979,1331,903
중랑구,2021,남자,67,849,3267,3574,2806,2373,2455,3103,3354,3107,2167,1222,774,461,233
중랑구,2021,여자,102,1716,3973,2891,1947,1648,1603,1814,2181,3102,2834,2356,2072,1472,964
중랑구,2022,남자,78,926,3448,4003,2819,2513,2344,3148,3337,3296,2381,1366,805,556,270
중랑구,2022,여자,135,1960,4529,3350,2021,1748,1584,1872,2185,3126,3036,2454,2222,1749,1073
중랑구,2023,남자,75,886,3483,4247,2754,2622,2245,3174,3333,3539,2787,1506,861,606,336
중랑구,2023,여자,134,2063,4738,3590,2060,1808,1529,1865,2271,3167,3295,2560,2313,1865,1194
성북구,2019,남자,447,3753,5134,2964,2179,1666,1990,1854,1765,1537,977,746,553,345,221
성북구,2019,여자,908,6855,4257,2197,1631,1272,1523,1271,1632,2061,1796,2033,1933,1427,905
성북구,2020,남자,640,3803,5118,3275,2196,1757,1928,1984,1786,1693,1094,779,574,360,242
성북구,2020,여자,1291,7468,4578,2388,1775,1410,1482,1395,1549,2223,2066,2103,2000,1538,1015
성북구,2021,남자,451,3902,5644,3635,2424,1913,1919,2086,1719,1853,1303,830,612,450,277
성북구,2021,여자,945,7410,5110,2738,1883,1530,1520,1515,1577,2356,2286,2160,2073,1651,1213
성북구,2022,남자,687,4052,5600,3888,2417,1929,1821,2148,1789,1949,1445,888,653,498,323
성북구,2022,여자,1101,7284,5197,2889,1806,1650,1484,1668,1617,2355,2481,2199,2150,1906,1348
성북구,2023,남자,585,4303,5449,4026,2461,1980,1746,2166,1906,2047,1658,1000,673,503,364
성북구,2023,여자,1033,7507,5366,3018,1850,1691,1402,1754,1675,2317,2656,2258,2269,2005,1480
강북구,2019,남자,71,696,2114,1969,1827,1507,1954,1964,2076,1922,1270,920,668,388,171
강북구,2019,여자,224,2120,2207,1400,1201,1065,1349,1431,1788,2275,2067,2155,2039,1261,692
강북구,2020,남자,64,780,2339,2163,1810,1710,1934,2059,2181,2114,1501,1001,697,413,192
강북구,2020,여자,224,2257,2555,1532,1206,1078,1342,1420,1818,2395,2253,2273,2213,1365,796
강북구,2021,남자,64,825,2562,2350,1889,1771,1871,2244,2203,2342,1729,1124,738,439,235
강북구,2021,여자,186,2326,2764,1734,1210,1111,1278,1511,1749,2578,2443,2428,2236,1585,903
강북구,2022,남자,58,906,2733,2568,1917,1842,1837,2331,2238,2419,1937,1219,759,522,300
강북구,2022,여자,268,2608,2937,1899,1247,1207,1182,1626,1779,2573,2539,2496,2284,1867,1036
강북구,2023,남자,76,904,2704,2670,1890,1865,1764,2358,2211,2534,2103,1285,813,593,346
강북구,2023,여자,293,2795,3090,1988,1209,1171,1118,1624,1815,2499,2736,2492,2407,2091,1215
도봉구,2019,남자,49,368,1158,1327,1401,1169,1539,1501,1588,1489,978,725,548,345,211
도봉구,2019,여자,110,1141,1294,972,970,901,1174,1162,1514,1968,1617,1670,1683,1262,819
도봉구,2020,남자,38,390,1351,1447,1431,1264,1519,1578,1613,1656,1140,827,568,380,236
도봉구,2020,여자,158,1222,1465,1089,996,953,1113,1236,1580,2079,1817,1777,1705,1368,888
도봉구,2021,남자,40,421,1496,1754,1502,1373,1534,1621,1672,1820,1378,879,604,412,283
도봉구,2021,여자,111,1250,1792,1302,1045,1036,1103,1396,1535,2220,2094,1889,1724,1522,1045
도봉구,2022,남자,58,420,1528,1926,1514,1393,1495,1777,1673,1880,1573,953,604,474,299
도봉구,2022,여자,133,1216,1924,1505,1043,1079,1138,1405,1553,2250,2315,1944,1786,1705,1181
도봉구,2023,남자,42,405,1535,2088,1502,1545,1381,1828,1764,1967,1750,1015,714,515,349
도봉구,2023,여자,129,1214,1923,1625,1080,1108,1084,1438,1580,2286,2611,1985,1926,1823,1313
노원구,2019,남자,304,2421,2825,2056,1927,1625,1990,1785,1819,1807,1327,1068,827,477,298
노원구,2019,여자,420,3088,2023,1393,1464,1360,1666,1722,2246,3125,2868,2980,2926,2131,1397
노원구,2020,남자,182,2223,2938,2293,1999,1708,1991,1972,1853,2028,1555,1208,885,529,337
노원구,2020,여자,408,3331,2266,1607,1531,1456,1709,1792,2172,3241,3202,3151,3039,2250,1582
노원구,2021,남자,263,2429,3137,2789,2122,1875,1899,2110,1965,2211,1841,1283,914,590,385
노원구,2021,여자,381,3254,2543,1927,1681,1546,1714,1873,2225,3404,3603,3248,3113,2596,1726
노원구,2022,남자,377,2526,3059,2911,2156,1943,1859,2133,1948,2318,1947,1377,963,712,440
노원구,2022,여자,429,3320,2600,2155,1589,1619,1713,1963,2211,3473,3825,3393,3217,2862,1984
노원구,2023,남자,280,2615,3048,2910,2187,1998,1804,2296,2020,2376,2233,1470,1131,785,495
노원구,2023,여자,430,3421,2691,2267,1534,1714,1610,2073,2197,3402,4089,3558,3385,2957,2299
은평구,2019,남자,114,802,3007,3091,2637,1978,2327,1996,2003,1820,1213,939,676,383,223
은평구,2019,여자,137,1737,3603,2617,2264,1701,1857,1606,2109,2735,2319,2341,2204,1521,854
은평구,2020,남자,85,919,3319,3471,2813,2157,2368,2103,2065,2023,1388,1077,724,454,255
은평구,2020,여자,150,2048,4388,3019,2369,1825,1926,1750,2051,2984,2611,2538,2330,1672,971
은평구,2021,남자,60,948,3641,3847,2896,2270,2301,2321,2117,2203,1659,1105,813,527,306
은평구,2021,여자,130,2169,5131,3453,2467,2024,1927,1918,2081,3150,2920,2662,2443,1826,1132
은평구,2022,남자,80,922,3694,4235,2815,2449,2262,2495,2088,2379,1802,1204,815,604,342
은평구,2022,여자,151,2257,5551,3926,2458,2146,1912,2043,2065,3149,3193,2729,2598,2109,1296
은평구,2023,남자,83,945,3707,4465,2889,2573,2124,2614,2212,2416,2040,1288,929,675,385
은평구,2023,여자,143,2269,5910,4387,2561,2248,1874,2138,2096,3063,3455,2896,2685,2282,1498
서대문구,2019,남자,214,2705,4319,2617,1813,1342,1442,1238,1225,1103,749,543,416,293,142
서대문구,2019,여자,530,5587,4166,2096,1524,1138,1231,1044,1219,1558,1355,1472,1507,1182,679
서대문구,2020,남자,231,2730,4523,2950,1908,1411,1439,1369,1305,1157,844,593,422,297,180
서대문구,2020,여자,757,6215,4459,2470,1679,1218,1243,1096,1217,1587,1479,1545,1532,1242,765
서대문구,2021,남자,269,2833,4994,3174,2054,1537,1471,1506,1332,1268,997,620,446,337,223
서대문구,2021,여자,588,6120,4998,2736,1719,1286,1190,1249,1210,1646,1645,1575,1571,1354,844
서대문구,2022,남자,291,2894,4955,3409,2072,1596,1421,1544,1313,1363,1062,647,490,379,272
서대문구,2022,여자,566,5757,5200,2980,1742,1403,1219,1368,1247,1676,1738,1578,1634,1492,980
서대문구,2023,남자,222,3013,4930,3598,2103,1660,1360,1557,1343,1423,1165,720,517,391,295
서대문구,2023,여자,462,6145,5414,3227,1797,1461,1192,1409,1214,1682,1880,1580,1736,1563,1111
마포구,2019,남자,256,2273,5543,4610,3298,2122,2006,1489,1199,954,644,488,411,232,146
마포구,2019,여자,298,4335,6696,4721,3264,2153,1928,1305,1303,1547,1327,1525,1450,1070,655
마포구,2020,남자,295,2435,5870,4995,3403,2270,2021,1571,1280,1057,716,500,420,254,177
마포구,2020,여자,368,4558,7334,5093,3469,2246,2032,1396,1296,1614,1483,1599,1502,1162,756
마포구,2021,남자,205,2448,6447,5509,3590,2434,1974,1721,1328,1167,843,549,427,280,197
마포구,2021,여자,280,4696,7918,5554,3495,2401,2042,1565,1324,1756,1704,1663,1575,1208,862
마포구,2022,남자,275,2473,6403,5984,3622,2573,2026,1825,1333,1214,886,589,438,310,229
마포구,2022,여자,334,4751,8403,5938,3557,2543,2049,1719,1390,1714,1777,1709,1597,1377,992
마포구,2023,남자,284,2601,6310,6287,3658,2658,1987,1969,1425,1295,980,646,477,355,264
마포구,2023,여자,329,4715,8499,6358,3589,2651,2013,1819,1413,1679,1892,1687,1686,1468,1118
양천구,2019,남자,65,404,1585,1991,1866,1508,1671,1626,1707,1571,1042,738,434,271,179
양천구,2019,여자,77,778,1729,1498,1308,1145,1258,1171,1545,2097,1823,1734,1537,1176,811
양천구,2020,남자,67,440,1893,2323,1944,1521,1679,1667,1784,1688,1259,820,483,297,193
양천구,2020,여자,77,810,2138,1664,1400,1174,1288,1186,1562,2284,2123,1878,1626,1290,878
양천구,2021,남자,51,498,2083,2716,2051,1651,1667,1755,1803,1905,1404,975,543,330,225
양천구,2021,여자,80,901,2454,2009,1477,1310,1213,1347,1560,2400,2455,2038,1715,1359,998
양천구,2022,남자,65,481,2184,2999,2090,1771,1640,1827,1825,1941,1596,1084,589,383,248
양천구,2022,여자,80,954,2635,2234,1501,1340,1263,1398,1592,2471,2601,2220,1851,1513,1126
양천구,2023,남자,58,480,2135,3008,2118,1817,1586,1875,1853,2136,1804,1150,682,448,286
양천구,2023,여자,70,848,2665,2388,1470,1399,1243,1461,1611,2438,2843,2324,2030,1630,1250
강서구,2019,남자,133,1071,5637,6427,4799,3210,3120,2571,2525,2427,1644,1233,748,396,288
강서구,2019,여자,192,3037,7963,5221,3472,2423,2249,1989,2590,3479,2803,2582,2236,1701,1205
강서구,2020,남자,133,1151,6280,7192,5171,3340,3104,2728,2595,2617,1891,1379,787,457,313
강서구,2020,여자,203,3291,9363,5985,3727,2579,2229,2047,2485,3658,3251,2722,2351,1769,1374
강서구,2021,남자,103,1244,7020,8262,5331,3701,3176,2963,2621,2755,2279,1449,921,531,340
강서구,2021,여자,149,3510,10640,7109,4082,2806,2332,2158,2497,3854,3744,2907,2436,1997,1519
강서구,2022,남자,102,1321,7363,9142,5457,3971,3217,3139,2658,2917,2450,1603,1048,606,388
강서구,2022,여자,153,3546,11460,8141,4360,3010,2437,2212,2475,3854,4050,3148,2560,2159,1748
강서구,2023,남자,97,1259,7341,9472,5563,4180,3147,3334,2753,3054,2799,1764,1202,704,436
강서구,2023,여자,128,3477,11403,8875,4449,3245,2457,2357,2502,3715,4470,3308,2838,2298,1882
구로구,2019,남자,106,824,3360,3472,2693,2068,2328,2083,1971,1659,1070,849,525,301,146
구로구,2019,여자,126,1785,3824,2485,1731,1249,1359,1200,1582,2040,1763,1767,1541,1165,668
구로구,2020,남자,120,877,3599,3838,2807,2083,2407,2206,2124,1808,1221,879,584,346,186
구로구,2020,여자,112,1798,4072,2769,1824,1374,1405,1241,1544,2144,2050,1906,1603,1264,780
구로구,2021,남자,79,920,4008,4378,2926,2232,2343,2359,2191,1992,1444,978,654,389,228
구로구,2021,여자,105,1954,4480,3139,1911,1425,1405,1316,1574,2273,2284,2011,1719,1363,900
구로구,2022,남자,91,954,4335,4930,3069,2400,2277,2391,2180,2118,1617,1059,675,466,255
구로구,2022,여자,120,2153,5090,3627,1932,1599,1371,1405,1519,2264,2470,2116,1872,1570,1052
구로구,2023,남자,96,962,4363,5139,3166,2426,2141,2490,2286,2259,1862,1163,783,533,288
구로구,2023,여자,111,2084,5251,3937,2009,1656,1320,1479,1540,2255,2662,2223,2015,1648,1171
금천구,2019,남자,55,644,3358,3168,2289,1523,1892,1933,2037,1542,906,619,409,220,104
금천구,2019,여자,83,1237,2762,1622,1081,803,995,1033,1302,1506,1280,1143,1122,703,407
금천구,2020,남자,53,734,3891,3726,2382,1684,1877,2076,2129,1776,1034,711,407,241,126
금천구,2020,여자,86,1554,3627,1992,1233,923,965,1102,1298,1607,1436,1246,1158,765,495
금천구,2021,남자,37,796,4461,4262,2632,1893,1819,2130,2215,1994,1231,764,462,291,146
금천구,2021,여자,79,1716,4452,2467,1343,966,986,1151,1330,1719,1593,1342,1136,869,545
금천구,2022,남자,51,870,4834,4841,2741,2053,1713,2196,2179,2182,1382,806,537,339,168
금천구,2022,여자,61,1781,5038,3002,1485,1042,946,1195,1338,1786,1681,1426,1211,1024,620
금천구,2023,남자,47,786,4793,5187,2782,2187,1663,2143,2120,2259,1559,857,554,350,212
금천구,2023,여자,69,1703,5361,3386,1489,1121,941,1146,1278,1742,1770,1463,1282,1099,684
영등포구,2019,남자,112,939,5503,5639,3504,2234,2456,2122,2171,1748,1112,828,495,288,146
영등포구,2019,여자,139,2338,6251,3999,2403,1547,1482,1176,1433,1759,1522,1524,1519,1090,735
영등포구,2020,남자,73,1061,6199,6492,3717,2444,2506,2312,2254,1947,1230,877,522,284,181
영등포구,2020,여자,116,2561,7219,4582,2633,1700,1560,1271,1420,1897,1725,1636,1526,1213,842
영등포구,2021,남자,63,1095,6784,7135,4133,2666,2466,2491,2292,2111,1474,916,574,313,223
영등포구,2021,여자,102,2838,8204,5354,2903,1869,1559,1431,1459,2006,1907,1756,1529,1253,900
영등포구,2022,남자,71,1180,6987,7837,4223,2855,2387,2628,2192,2163,1603,998,607,393,276
영등포구,2022,여자,124,3150,8811,6100,3054,1995,1606,1517,1416,1964,2008,1797,1568,1416,1036
영등포구,2023,남자,75,1113,7262,8342,4401,2996,2341,2661,2315,2317,1842,1056,688,437,300
영등포구,2023,여자,109,3126,9568,6774,3196,2189,1550,1587,1464,1900,2167,1841,1669,1503,1106
동작구,2019,남자,385,3158,6917,4772,3018,1999,1982,1576,1458,1186,833,613,441,264,144
동작구,2019,여자,506,4679,6339,3557,2210,1397,1343,1199,1346,1874,1742,1783,1542,1119,706
동작구,2020,남자,631,3330,7114,5229,3037,2084,1947,1605,1470,1333,938,661,471,295,182
동작구,2020,여자,630,5262,7039,3902,2209,1522,1375,1244,1304,1911,1875,1924,1584,1193,800
동작구,2021,남자,399,3533,7584,5847,3121,2293,1976,1751,1521,1467,1076,724,497,332,224
동작구,2021,여자,544,5338,7602,4394,2341,1600,1387,1339,1352,2034,2084,1990,1697,1311,873
동작구,2022,남자,466,3750,8052,6266,3253,2373,1943,1870,1548,1507,1177,783,520,368,248
동작구,2022,여자,608,5458,8074,4680,2377,1715,1463,1376,1355,2049,2224,2044,1800,1435,1000
동작구,2023,남자,430,3985,8403,6555,3410,2398,1925,1934,1595,1641,1290,823,582,399,280
동작구,2023,여자,533,5536,8374,4978,2457,1800,1437,1386,1362,2012,2286,2044,1939,1515,1134
관악구,2019,남자,466,5555,17438,12185,6833,4147,4097,3217,2799,2206,1410,1069,645,366,167
관악구,2019,여자,557,9296,15689,7730,4151,2363,2087,1778,2131,2638,2273,2319,2118,1353,780
관악구,2020,남자,568,5979,18870,13358,7096,4496,4202,3450,3001,2523,1658,1135,715,414,200
관악구,2020,여자,553,9914,17461,8444,4246,2567,2071,1895,2065,2798,2505,2418,2199,1532,900
관악구,2021,남자,328,5856,20089,14346,7212,4918,4271,3731,3171,2785,1993,1257,773,471,233
관악구,2021,여자,406,9779,18900,9195,4359,2772,2040,2011,2060,2987,2787,2526,2322,1672,1005
관악구,2022,남자,461,6388,21467,15803,7411,5231,4176,4011,3134,2916,2195,1378,854,547,293
관악구,2022,여자,526,10165,20460,10289,4456,2964,2132,2129,2088,2934,2990,2621,2407,1882,1125
관악구,2023,남자,509,6556,21762,16984,7630,5510,4112,4140,3292,3172,2465,1477,947,633,329
관악구,2023,여자,591,9736,21090,11145,4564,3060,2144,2147,2104,2894,3226,2707,2542,2021,1256
서초구,2019,남자,227,851,2840,3399,2816,1809,1888,1349,1110,896,576,449,296,167,119
서초구,2019,여자,294,1699,3608,3401,2663,1812,1702,1244,1226,1556,1282,1191,979,662,556
서초구,2020,남자,208,910,2861,3658,2733,1796,1776,1433,1058,915,651,492,318,188,145
서초구,2020,여자,392,1974,3699,3529,2633,1907,1601,1264,1179,1525,1474,1308,1024,715,576
서초구,2021,남자,113,860,3019,3930,2834,2006,1760,1570,1123,1031,758,522,338,198,176
서초구,2021,여자,184,1818,3851,3805,2629,2105,1652,1381,1206,1525,1670,1328,1126,803,612
서초구,2022,남자,112,771,3009,4085,2796,2119,1698,1707,1106,1110,823,543,359,215,186
서초구,2022,여자,166,1516,3915,3900,2616,2185,1689,1517,1205,1509,1701,1412,1202,896,677
서초구,2023,남자,108,807,3104,4250,2889,2175,1665,1733,1206,1101,948,577,405,261,203
서초구,2023,여자,153,1563,4151,4089,2723,2255,1680,1605,1275,1498,1784,1519,1318,952,759
강남구,2019,남자,276,1056,4458,5312,4451,2866,2732,1866,1489,1198,879,708,455,239,202
강남구,2019,여자,331,2306,6161,6162,4935,3098,2363,1685,1650,2188,1926,1762,1408,1016,895
강남구,2020,남자,246,1107,4629,5732,4449,3086,2664,1987,1525,1304,955,783,501,270,208
강남구,2020,여자,252,2483,6592,6302,4984,3287,2517,1713,1627,2178,2106,1914,1560,1073,965
강남구,2021,남자,181,1055,4678,6065,4436,3425,2593,2392,1616,1470,1147,846,579,333,232
강남구,2021,여자,216,2504,6549,6342,4795,3565,2613,1978,1659,2261,2438,2026,1747,1176,1069
강남구,2022,남자,250,1107,4658,6280,4406,3588,2584,2478,1644,1501,1220,882,615,375,260
강남구,2022,여자,215,2414,6619,6380,4638,3726,2658,2089,1717,2185,2561,2172,1840,1366,1151
강남구,2023,남자,168,1094,4863,6700,4418,3685,2694,2588,1726,1617,1360,910,698,406,290
강남구,2023,여자,174,2235,7012,6905,4668,3985,2666,2231,1771,2150,2687,2299,2029,1471,1309
송파구,2019,남자,136,978,4623,5697,4352,2954,2958,2301,2119,1834,1176,872,554,296,186
송파구,2019,여자,146,1928,6131,5328,4244,2719,2348,1843,2265,2829,2272,2090,1628,1138,916
송파구,2020,남자,125,959,4957,6133,4542,3199,2915,2478,2165,1986,1358,966,578,323,206
송파구,2020,여자,159,2140,7015,5796,4400,2944,2419,1910,2176,2952,2636,2307,1717,1230,1003
송파구,2021,남자,122,933,5385,6651,4607,3509,2960,2706,2259,2217,1627,1048,635,382,226
송파구,2021,여자,121,2317,7643,6435,4520,3168,2464,2170,2118,3150,3006,2471,1956,1370,1086
송파구,2022,남자,113,903,5463,7184,4666,3676,2923,2835,2240,2265,1805,1175,723,467,271
송파구,2022,여자,160,2178,7639,7065,4477,3411,2478,2314,2188,3132,3232,2609,2131,1538,1212
송파구,2023,남자,113,946,5505,7845,4867,3808,2915,2974,2378,2453,2084,1295,842,505,319
송파구,2023,여자,153,2176,8311,7696,4533,3635,2474,2429,2201,3123,3494,2731,2301,1709,1325
강동구,2019,남자,68,598,2582,2940,2492,1877,2192,2025,2130,1823,1174,833,508,279,153
강동구,2019,여자,89,1261,3105,2330,1911,1429,1439,1307,1756,2311,1868,1667,1368,997,676
강동구,2020,남자,56,611,2988,3412,2614,2111,2246,2184,2176,2032,1417,939,552,308,171
강동구,2020,여자,96,1360,4002,2712,2043,1635,1537,1408,1709,2553,2246,1870,1467,1077,784
강동구,2021,남자,68,719,3602,3885,2828,2307,2265,2313,2359,2284,1756,1045,618,386,206
강동구,2021,여자,82,1673,4937,3267,2215,1851,1561,1576,1765,2816,2725,2117,1616,1196,867
강동구,2022,남자,63,705,3684,4213,2761,2399,2158,2460,2353,2431,1883,1146,687,419,252
강동구,2022,여자,82,1661,5242,3748,2143,1986,1585,1679,1726,2852,2996,2300,1752,1431,955
강동구,2023,남자,70,705,3782,4560,2781,2476,2122,2512,2418,2596,2212,1289,818,487,295
강동구,2023,여자,70,1574,5586,4161,2234,1996,1583,1755,1790,2859,3285,2457,1946,1472,1052
