자치구별(1),자치구별(2),시점,소계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
합계,종로구,2019,24671,507,3280,3903,2647,1872,1405,1704,1521,1718,1572,1201,1120,1047,704,470
합계,종로구,2020,25983,398,3331,4111,2923,1981,1516,1743,1612,1744,1727,1337,1156,1108,749,547
합계,종로구,2021,27308,328,3211,4588,3205,2015,1690,1620,1783,1757,1864,1546,1160,1133,811,597
합계,종로구,2022,28424,503,3318,4913,3366,2081,1762,1547,1807,1708,1918,1611,1178,1129,916,667
합계,종로구,2023,29334,547,3470,4920,3605,2086,1765,1510,1826,1710,1995,1731,1264,1159,1016,730
합계,종로구,2024,29779,475,3336,5017,3871,2183,1801,1495,1815,1765,1903,1829,1303,1172,1006,808
합계,중구,2019,22078,489,2251,3054,2561,1920,1462,1554,1467,1534,1567,1180,1031,896,652,460
합계,중구,2020,22818,435,2250,3232,2698,1975,1466,1527,1541,1539,1629,1372,1119,897,687,451
합계,중구,2021,24544,268,2232,3792,3081,2187,1607,1486,1609,1540,1728,1567,1168,962,762,555
합계,중구,2022,25247,351,1931,3782,3555,2138,1726,1429,1679,1492,1716,1696,1266,991,844,651
합계,중구,2023,28293,547,2651,4156,4094,2361,1941,1514,1742,1538,1826,1817,1356,1104,917,729
합계,중구,2024,28968,458,2503,4151,4430,2617,2011,1557,1689,1586,1779,1940,1385,1136,942,784
합계,용산구,2019,35148,252,2636,5349,4985,3959,2701,2729,2158,2104,2112,1596,1460,1321,1075,711
합계,용산구,2020,36881,457,2663,5646,5550,4110,2903,2629,2245,2129,2154,1723,1450,1334,1106,782
합계,용산구,2021,39270,140,2620,6396,6225,4436,3106,2624,2451,2166,2364,1925,1466,1335,1117,899
합계,용산구,2022,41437,349,2641,6627,7040,4576,3321,2587,2604,2081,2389,2099,1532,1378,1189,1024
합계,용산구,2023,42482,315,2803,6502,7385,4543,3417,2543,2646,2219,2442,2267,1626,1481,1175,1118
합계,용산구,2024,40445,169,2493,5889,7445,4485,3252,2369,2512,2157,2233,2172,1592,1405,1145,1127
합계,성동구,2019,41488,587,4709,6878,4907,3655,2752,2990,2670,2715,2713,1942,1715,1557,1082,616
합계,성동구,2020,42585,753,4850,7052,5008,3709,2790,2864,2707,2641,2850,2170,1748,1600,1167,676
합계,성동구,2021,44946,534,4719,7909,5542,3828,3011,2773,2822,2721,3078,2464,1854,1666,1252,773
합계,성동구,2022,46548,665,5046,8071,5964,3702,3139,2692,2881,2675,3102,2657,1963,1722,1398,871
합계,성동구,2023,48111,593,5223,8440,6457,3786,3143,2537,2885,2662,3159,2862,2039,1802,1503,1020
합계,성동구,2024,48442,627,5025,8224,6857,3892,3078,2457,2804,2752,3079,2976,2148,1871,1508,1144
합계,광진구,2019,58714,576,6710,11939,8398,5649,3767,3711,3423,3544,3392,2286,1959,1621,1060,679
합계,광진구,2020,62301,562,7283,13249,8991,5692,3968,3600,3534,3576,3646,2650,2080,1688,1084,698
합계,광진구,2021,66140,465,7334,14420,9932,5870,4257,3554,3738,3608,3969,3023,2184,1764,1216,806
합계,광진구,2022,69391,475,7516,14986,11085,6030,4429,3563,3827,3618,4016,3300,2308,1831,1412,995
합계,광진구,2023,71959,630,7959,15408,11894,6138,4604,3396,3815,3638,4062,3478,2376,1933,1515,1113
