자치구,2019년_전체점포수,2019년_프랜차이즈비율(%),2020년_전체점포수,2020년_프랜차이즈비율(%),2021년_전체점포수,2021년_프랜차이즈비율(%),2022년_전체점포수,2022년_프랜차이즈비율(%),2023년_전체점포수,2023년_프랜차이즈비율(%),2024년_전체점포수,2024년_프랜차이즈비율(%),2025년_전체점포수,2025년_프랜차이즈비율(%)
강남구,51184,19.73,52794,19.77,54874,19.49,56565,19.35,57471,19.26,57335,18.89,56013,18.56
강동구,20951,19.72,21851,20.47,22948,21.46,23583,21.75,23722,21.98,23644,21.95,23255,22.16
강북구,15528,16.9,16081,17.09,16721,17.65,17125,18.23,17278,18.38,16964,18.0,16254,18.01
강서구,26006,23.71,27557,24.08,29542,24.19,31125,24.44,31765,24.58,32234,24.13,31334,23.5
관악구,22536,19.3,23569,19.51,24837,19.93,25479,20.28,25810,20.32,26036,20.16,24836,20.14
광진구,20487,20.15,21362,20.52,22497,20.69,23409,21.01,23659,21.16,23558,20.29,22933,19.76
구로구,19947,21.06,20525,21.74,21366,22.69,22164,23.17,22591,23.67,22436,23.24,21587,22.81
금천구,14097,22.32,14617,23.29,15346,23.99,16205,24.68,16591,24.45,16706,24.31,16376,24.19
노원구,18323,23.74,18988,24.16,19779,24.82,20228,25.38,20460,25.37,20466,25.36,19776,25.35
도봉구,12011,17.56,12330,17.92,12916,18.59,13172,19.4,13178,19.62,13061,20.19,12549,19.95
동대문구,19531,17.31,20125,17.73,20911,18.39,21669,18.89,22123,18.75,22357,18.76,21565,18.12
동작구,16784,22.46,17202,22.87,17525,23.01,17784,22.9,17997,22.38,18118,22.57,17556,22.61
마포구,37451,15.94,38564,16.17,40157,16.28,42105,16.3,43453,15.98,43848,15.71,42499,15.4
서대문구,18030,19.0,18339,19.55,18729,20.18,19291,20.2,19513,20.25,19549,19.72,18996,19.36
서초구,29422,20.42,29954,20.73,30420,21.27,30867,21.22,30976,21.25,31295,21.04,30937,20.87
성동구,16787,19.75,17944,19.9,19162,20.15,20102,19.53,20986,18.61,21385,17.79,20898,17.16
성북구,18799,19.8,19178,20.53,19925,21.03,20556,21.22,20940,21.38,20995,21.29,20508,21.3
송파구,32978,22.71,34749,22.77,36462,22.76,37864,22.94,38790,22.88,38762,22.74,37729,22.35
양천구,15920,22.28,16552,22.89,17454,23.24,18147,23.98,18439,24.05,18064,23.66,17299,23.0
영등포구,29421,18.8,30380,19.54,31580,20.06,32537,20.0,33535,20.11,34203,19.97,33919,19.26
용산구,20237,13.98,20680,14.33,20999,14.36,22066,14.06,23049,14.2,23419,14.32,23140,13.86
은평구,18548,18.55,19452,19.18,20597,20.27,21373,20.59,21485,20.81,21308,20.48,20268,20.13
종로구,27760,15.19,27855,15.29,27786,15.09,28310,14.86,28973,14.74,29251,14.64,29096,14.43
중구,25566,19.28,26090,19.66,25990,19.53,26418,19.24,27269,19.08,27958,18.74,27956,18.1
중랑구,16939,17.24,17548,17.72,18453,18.18,19166,18.57,19547,19.3,19753,19.39,19103,19.23
