자치구,2019년_전체,2019년_1층,2019년_1층외,2020년_전체,2020년_1층,2020년_1층외,2021년_전체,2021년_1층,2021년_1층외,2022년_전체,2022년_1층,2022년_1층외,2023년_전체,2023년_1층,2023년_1층외
강남구,138068,163948,112188,144642,172365,116919,148418,174165,122671,165455,190098,140812,172232,185359,159105
강동구,86022,110770,61273,98588,123818,73359,102159,129545,74774,109674,133906,85444,119134,139790,98479
강북구,84198,97643,70754,81698,98991,64405,83980,104858,63102,91372,110378,72367,83601,101348,65854
강서구,102749,131876,73622,101776,130078,73474,111713,139412,84015,118544,143947,93140,128047,151898,104196
관악구,100016,126265,73768,100069,126168,73971,105226,131412,79040,109476,136741,82210,115206,139616,90797
광진구,95128,118580,71675,96510,119052,73968,100116,126196,74036,112267,134125,90408,106786,124589,88982
구로구,103306,117192,89419,106910,123859,89960,101517,117605,85428,124421,143342,105500,132933,146394,119473
금천구,95114,112430,77797,103606,118856,88358,107146,118458,95836,96254,114440,78069,104535,124970,84099
노원구,102689,134312,71066,102465,135197,69733,98524,129693,67354,113537,137383,89690,116890,140210,93570
도봉구,78977,105729,52224,75587,99976,51198,80030,102278,57782,89705,112072,67337,122756,143368,102146
동대문구,87141,112227,62055,86794,114511,59078,92204,117074,67333,94914,116628,73200,93703,119743,67663
동작구,103727,130562,76893,108319,138222,78416,115824,145000,86647,138554,159689,117420,137662,169801,105522
마포구,121167,140998,101337,125971,148557,103385,134989,160672,109306,153931,179662,128201,145693,165758,125628
서대문구,102306,125647,78965,101781,128869,74693,107066,130654,83478,114164,125068,103259,130797,142025,119570
서초구,115414,135886,94942,122980,140642,105319,127592,147268,107916,133875,153524,114226,138047,159647,116448
성동구,104542,122740,86343,102626,121642,83610,119336,135184,103489,150560,164986,136134,202264,212284,192242
성북구,88271,107508,69033,86090,110728,61451,93350,117082,69617,104751,122202,87300,104842,124511,85172
송파구,115503,141078,89928,124473,147456,101490,152088,179053,125123,162779,188560,136998,145618,169626,121610
양천구,94911,121367,68456,94649,118816,70481,100299,125531,75068,105896,128088,83705,114702,132978,96426
영등포구,96104,113882,78326,104955,123721,86189,106502,126360,86643,112874,129370,96377,118724,134304,103143
용산구,113361,135384,91337,115942,136757,95126,121851,142571,101132,136448,154042,118853,140860,164745,116976
은평구,87063,105262,68863,90639,110415,70863,90899,112301,69496,103116,118611,87622,94898,111358,78437
종로구,189650,223701,155599,172554,206900,138208,170391,202073,138708,195351,224345,166357,198676,231237,166113
중구,219590,223125,216055,244502,250304,238701,226638,240657,212618,251906,262864,240947,284602,297008,272198
중랑구,71417,93284,49550,76994,97700,56289,88624,107872,69376,87007,106597,67416,85714,105747,65680
