연도,분기,자치구,전체_점포수,프랜차이즈_점포수,프랜차이즈_비율(%)
2019,1분기,강남구,12603,2497,19.81
2019,1분기,강동구,5213,1021,19.59
2019,1분기,강북구,3845,653,16.98
2019,1분기,강서구,6335,1492,23.55
2019,1분기,관악구,5551,1075,19.37
2019,1분기,광진구,5064,1014,20.02
2019,1분기,구로구,4982,1044,20.96
2019,1분기,금천구,3465,756,21.82
2019,1분기,노원구,4532,1083,23.9
2019,1분기,도봉구,2980,524,17.58
2019,1분기,동대문구,4840,836,17.27
2019,1분기,동작구,4154,930,22.39
2019,1분기,마포구,9253,1484,16.04
2019,1분기,서대문구,4453,835,18.75
2019,1분기,서초구,7325,1495,20.41
2019,1분기,성동구,4105,811,19.76
2019,1분기,성북구,4649,913,19.64
2019,1분기,송파구,8084,1843,22.8
2019,1분기,양천구,3952,873,22.09
2019,1분기,영등포구,7313,1364,18.65
2019,1분기,용산구,5015,700,13.96
2019,1분기,은평구,4590,854,18.61
2019,1분기,종로구,6887,1046,15.19
2019,1분기,중구,6301,1197,19.0
2019,1분기,중랑구,4195,719,17.14
2019,2분기,강남구,12758,2523,19.78
2019,2분기,강동구,5234,1031,19.7
2019,2분기,강북구,3889,659,16.95
2019,2분기,강서구,6477,1532,23.65
2019,2분기,관악구,5598,1074,19.19
2019,2분기,광진구,5117,1028,20.09
2019,2분기,구로구,4991,1055,21.14
2019,2분기,금천구,3509,774,22.06
2019,2분기,노원구,4574,1082,23.66
2019,2분기,도봉구,3002,522,17.39
2019,2분기,동대문구,4862,844,17.36
2019,2분기,동작구,4201,932,22.19
2019,2분기,마포구,9350,1489,15.93
2019,2분기,서대문구,4498,857,19.05
2019,2분기,서초구,7339,1489,20.29
2019,2분기,성동구,4163,819,19.67
2019,2분기,성북구,4710,922,19.58
2019,2분기,송파구,8199,1853,22.6
2019,2분기,양천구,3968,882,22.23
2019,2분기,영등포구,7329,1369,18.68
2019,2분기,용산구,5042,701,13.9
2019,2분기,은평구,4641,856,18.44
2019,2분기,종로구,6947,1051,15.13
2019,2분기,중구,6364,1227,19.28
2019,2분기,중랑구,4237,729,17.21
2019,3분기,강남구,12841,2526,19.67
2019,3분기,강동구,5218,1026,19.66
2019,3분기,강북구,3868,653,16.88
2019,3분기,강서구,6540,1552,23.73
