기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,일반_점포_수,전체_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20261,11740,강동구,CS300043,전자상거래업,779,779,0.3,2,9,70,0
20261,11740,강동구,CS300042,주유소,43,43,0,0,4.7,2,0
20261,11740,강동구,CS300041,예술품,30,30,10,3,0,0,0
20261,11740,강동구,CS300040,재생용품 판매점,42,42,0,0,0,0,0
20261,11740,강동구,CS300039,모터사이클및부품,20,20,0,0,5,1,0
20261,11740,강동구,CS300038,자동차부품,92,93,0,0,2.2,2,1
20261,11740,강동구,CS300037,중고차판매,13,13,0,0,0,0,0
20261,11740,강동구,CS300036,조명용품,188,189,0,0,1.1,2,1
20261,11740,강동구,CS300035,인테리어,200,200,1.5,3,0.5,1,0
20261,11740,강동구,CS300034,악기,14,14,0,0,0,0,0
20261,11740,강동구,CS300033,철물점,117,117,1.7,2,0,0,0
20261,11740,강동구,CS300032,가전제품,97,97,0,0,0,0,0
20261,11740,강동구,CS300031,가구,143,143,2.1,3,2.1,3,0
20261,11740,강동구,CS300030,중고가구,3,3,0,0,0,0,0
20261,11740,강동구,CS300029,애완동물,126,136,4.4,6,4.4,6,10
20261,11740,강동구,CS300028,화초,271,274,2.6,7,2.2,6,3
20261,11740,강동구,CS300027,섬유제품,116,116,5.2,6,1.7,2,0
20261,11740,강동구,CS300026,완구,44,44,0,0,0,0,0
20261,11740,강동구,CS300025,자전거 및 기타운송장비,74,74,1.4,1,4.1,3,0
20261,11740,강동구,CS300024,운동/경기용품,184,184,1.6,3,1.1,2,0
20261,11740,강동구,CS300023,미용재료,47,47,4.3,2,2.1,1,0
20261,11740,강동구,CS300022,화장품,420,439,1.1,5,3.2,14,19
20261,11740,강동구,CS300021,문구,122,131,3.8,5,3.1,4,9
20261,11740,강동구,CS300020,서적,145,155,5.2,8,0.6,1,10
20261,11740,강동구,CS300019,의료기기,196,199,0,0,2,4,3
20261,11740,강동구,CS300018,의약품,408,442,2,9,2.7,12,34
20261,11740,강동구,CS300017,시계및귀금속,136,138,2.2,3,0.7,1,2
20261,11740,강동구,CS300016,안경,79,113,1.8,2,0.9,1,34
20261,11740,강동구,CS300015,가방,100,101,2,2,3,3,1
20261,11740,강동구,CS300014,신발,126,129,0,0,1.6,2,3
20261,11740,강동구,CS300013,유아의류,66,67,0,0,4.5,3,1
