구명,구코드,상권개수,영역_면적_평균
강남구,11680,102,121753.6568627451
강남구_관광특구,11680,1,237892.0
강동구,11740,60,96016.85
강북구,11305,63,75212.04761904762
강서구,11500,70,124092.27142857143
관악구,11620,74,80629.56756756757
광진구,11215,62,89884.20967741935
구로구,11530,60,108057.5
금천구,11545,45,133975.82222222222
노원구,11350,42,74195.88095238095
도봉구,11320,43,105358.81395348837
동대문구,11230,77,77701.66233766233
동작구,11590,57,87068.0701754386
마포구,11440,77,95058.93506493507
서대문구,11410,62,71768.70967741935
서초구,11650,74,123011.67567567568
성동구,11200,55,85823.25454545455
성북구,11290,76,79593.71052631579
송파구,11710,69,127028.8115942029
송파구_관광특구,11710,1,2462734.0
양천구,11470,56,94236.69642857143
영등포구,11560,96,79286.6875
용산구,11170,56,117130.96428571429
용산구_관광특구,11170,1,372565.0
은평구,11380,68,92928.35294117648
종로구,11110,73,100128.38356164383
종로구_관광특구,11110,1,653127.0
중구,11140,66,88202.5
중구_관광특구,11140,2,794838.0
중랑구,11260,61,98551.85245901639
